@type,@context,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,priceString,price,beds,baths,sqft,name,url
GeoCoordinates,http://schema.org,91 Evening Shade Ln #17,Graysville,TN,37338,35.394108,-85.28965,"$28,000",28000,2,,,"91 Evening Shade Ln #17, Graysville, TN 37338",https://www.zillow.com/homedetails/91-Evening-Shade-Ln-17-Graysville-TN-37338/2060168216_zpid/
GeoCoordinates,http://schema.org,91 Evening Shade Ln,Graysville,TN,37338,35.394043,-85.2893,"$28,000",28000,2,,,"91 Evening Shade Ln, Graysville, TN 37338",https://www.zillow.com/homedetails/91-Evening-Shade-Ln-Graysville-TN-37338/2060182476_zpid/
GeoCoordinates,http://schema.org,290 Evening Shade Ln,Graysville,TN,37338,35.39357,-85.28534,"$62,000",62000,4,,,"290 Evening Shade Ln, Graysville, TN 37338",https://www.zillow.com/homedetails/290-Evening-Shade-Ln-Graysville-TN-37338/2069202358_zpid/
GeoCoordinates,http://schema.org,1838 Main St,Dunlap,TN,37327,"2,144",35.376358,-85.38459,"$300,000",300000,4,3,2144,"1838 Main St, Dunlap, TN 37327",https://www.zillow.com/homedetails/1838-Main-St-Dunlap-TN-37327/42121521_zpid/
GeoCoordinates,http://schema.org,6812 State Route 8,Dunlap,TN,37327,"1,332",35.458714,-85.44152,"$41,800",41800,,1,1332,"6812 State Route 8, Dunlap, TN 37327",https://www.zillow.com/homedetails/6812-State-Route-8-Dunlap-TN-37327/81217667_zpid/
GeoCoordinates,http://schema.org,Hill Cir,Dunlap,TN,37327,35.384163,-85.386635,"$300,000",300000,,,,"Hill Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/Hill-Cir-Dunlap-TN-37327/42120953_zpid/
GeoCoordinates,http://schema.org,477 Hill Cir,Dunlap,TN,37327,"1,525",35.38425,-85.38668,"$300,000",300000,3,2,1525,"477 Hill Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/477-Hill-Cir-Dunlap-TN-37327/2061267628_zpid/
GeoCoordinates,http://schema.org,71 Graham Cir,Dunlap,TN,37327,"1,500",35.37091,-85.33637,"$265,000",265000,3,2,1500,"71 Graham Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/71-Graham-Cir-Dunlap-TN-37327/42121273_zpid/
GeoCoordinates,http://schema.org,14757 Rankin Ave,Dunlap,TN,37327,"2,501",35.35955,-85.396,"$535,000",535000,,,2501,"14757 Rankin Ave, Dunlap, TN 37327",https://www.zillow.com/homedetails/14757-Rankin-Ave-Dunlap-TN-37327/227071991_zpid/
GeoCoordinates,http://schema.org,0 Wilderness Way #545,Dunlap,TN,37327,35.344074,-85.44265,"$15,000",15000,2,,,"0 Wilderness Way #545, Dunlap, TN 37327",https://www.zillow.com/homedetails/0-Wilderness-Way-545-Dunlap-TN-37327/2085367876_zpid/
GeoCoordinates,http://schema.org,234 Houston St,Dunlap,TN,37327,"1,196",35.3819,-85.38542,"$59,600",59600,3,,1196,"234 Houston St, Dunlap, TN 37327",https://www.zillow.com/homedetails/234-Houston-St-Dunlap-TN-37327/42121020_zpid/
GeoCoordinates,http://schema.org,Hearthstone Dr,Dunlap,TN,37327,35.334454,-85.41421,"$19,900",19900,,,,"Hearthstone Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Hearthstone-Dr-Dunlap-TN-37327/81221457_zpid/
GeoCoordinates,http://schema.org,Williams Rd,Dunlap,TN,37327,35.388027,-85.382355,"$260,000",260000,,,,"Williams Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/Williams-Rd-Dunlap-TN-37327/42120885_zpid/
GeoCoordinates,http://schema.org,1720 W Valley Rd,Whitwell,TN,37397,"1,104",35.30671,-85.43958,"$67,590",67590,2,1,1104,"1720 W Valley Rd, Whitwell, TN 37397",https://www.zillow.com/homedetails/1720-W-Valley-Rd-Whitwell-TN-37397/42123561_zpid/
GeoCoordinates,http://schema.org,205 Boston Town Rd,Dunlap,TN,37327,"2,280",35.412502,-85.3353,"$80,000",80000,,2,2280,"205 Boston Town Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/205-Boston-Town-Rd-Dunlap-TN-37327/227067854_zpid/
GeoCoordinates,http://schema.org,73 Greer Dr,Dunlap,TN,37327,"4,743",35.36666,-85.39875,"$675,000",675000,4,3,4743,"73 Greer Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/73-Greer-Dr-Dunlap-TN-37327/227071968_zpid/
GeoCoordinates,http://schema.org,38 Hearthstone Dr #38,Dunlap,TN,37327,35.334404,-85.41411,"$19,900",19900,0,,,"38 Hearthstone Dr #38, Dunlap, TN 37327",https://www.zillow.com/homedetails/38-Hearthstone-Dr-38-Dunlap-TN-37327/2077811894_zpid/
GeoCoordinates,http://schema.org,Gray Creek Rd,Graysville,TN,37338,35.375637,-85.29401,"$89,000",89000,,,,"Gray Creek Rd, Graysville, TN 37338",https://www.zillow.com/homedetails/Gray-Creek-Rd-Graysville-TN-37338/81238644_zpid/
GeoCoordinates,http://schema.org,Bluff View Dr,Dunlap,TN,37327,35.341778,-85.44192,"$52,000",52000,,,,"Bluff View Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Bluff-View-Dr-Dunlap-TN-37327/90239016_zpid/
GeoCoordinates,http://schema.org,0 Sequatchie Co Line,Dunlap,TN,37327,35.441895,-85.33941,"$440,000",440000,57,,,"0 Sequatchie Co Line, Dunlap, TN 37327",https://www.zillow.com/homedetails/0-Sequatchie-Co-Line-Dunlap-TN-37327/2060784257_zpid/
GeoCoordinates,http://schema.org,0 Knotty Pine Rd,Dunlap,TN,37327,35.42853,-85.33233,"$489,970",489970,76,,,"0 Knotty Pine Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/0-Knotty-Pine-Rd-Dunlap-TN-37327/2087367890_zpid/
